date,player_a,sims_a,player_b,sims_b,wins_a,wins_b,n,comment,contract,knobs,units,early_stop
2026-09-12,v28-b02,400,v27-b01,400,133,97,230,"Neuverankerung Segment 2, Nachbar-Kante (paired_gating, beide Seiten Champion-Spec, --log-games), Seed 20261044, SPRT-Entscheid fuer v28-b02 nach 115 Paaren (LLR +3,025), McNemar p=0,0198, gepaarte Differenz +0,313 [+0,068; +0,558]; 3.243 s, 10 Threads, block-size 5; Fruehstopp <150 Paare, Replikation Seed 20261046 folgt (Promotionskette)",39648b95bbba1acf,spec:frozen_champions/v27-b01/spec.json,"10:6,5,5,8,5,7,6,6,7,6,4,7,5,6,5,5,6,7,4,4,5,7,7",1
2026-09-12,v28-b02,400,v27-b01,400,212,188,400,"Segment 2, REPLIKATION der Nachbar-Kante Seed 20261046 bis zum Deckel (200 Paare, kein SPRT-Entscheid, LLR -1,19), McNemar p=0,281, gepaarte Differenz +0,12 [-0,08; +0,32], Punkte 51,4 gegen 50,8 (96 Splits, 58 A-Sweeps, 46 B-Sweeps); 5.449 s, 10 Threads, block-size 5, --log-games. Nicht signifikant; Richtung wie Seed 20261044. Dritter Seed nach v26-Praezedenz (alpha=beta=1e-12) vorgesehen",39648b95bbba1acf,spec:frozen_champions/v27-b01/spec.json,"10:5,5,5,5,4,8,4,8,5,3,5,7,6,3,5,6,7,7,2,8,5,6,6,5,4,5,4,5,4,7,5,6,6,4,4,5,6,5,6,6",0
2026-09-12,v28-b02,400,v26-b01,400,101,49,150,"Promotion v28-b02, Champion-2-Kante GEGEN DAS EINGEFRORENE ARTEFAKT v26-b01 mit dessen eigenem Wheel (frozen_referee_match, 150 Partien, 6 Prozesse, Seed-Basis 20261052); Cross-Aera: Handshake ROT (20b442a8164f748d gegen 39648b95bbba1acf, --force-cross-era), Golden-Selbsttest 10/10 gruen; Punkte 52,9 gegen 50,5; 2.516 s. Bezug Alt-Register: v27-b01 hatte 92:58 gegen v25-b01",39648b95bbba1acf,spec:frozen_champions/v27-b01/spec.json,,0
2026-09-12,v28-b02,400,v27-b01,400,226,174,400,"Segment 2, DRITTER SEED der Nachbar-Kante als unverzerrter Stichentscheid (Seed 20261047, 200 Paare bis zum Deckel, Fruehstopp per alpha=beta=1e-12 aus, LLR +2,86), McNemar p=0,0167, gepaarte Differenz +0,26 [+0,06; +0,46], Punkte 52,7 gegen 50,3 (90 Splits, 68 A-Sweeps, 42 B-Sweeps); 5.405 s, 10 Threads, block-size 5, --log-games. Verzerrungsfrei gepoolt mit Seed 20261046: 438:362 aus 800",39648b95bbba1acf,spec:frozen_champions/v27-b01/spec.json,"10:4,4,6,5,6,2,5,8,6,6,5,4,8,7,3,5,7,8,6,7,4,2,10,6,6,6,5,6,8,7,7,8,5,2,5,5,4,6,5,7",0
2026-09-12,v26-b01,400,v24-b07,400,36,14,50,"Segment 2, Zwischenstufe (tools/night_ladder_rungs2.sh): Artefakt v26-b01 gegen Artefakt v24-b07 (beide eigene Wheels, frozen_referee_match, 6 Prozesse, Seed-Basis 913001), Block 1 von bis zu 3, FRUEH-STOPP nach 50 Partien (Binomial zweiseitig p=0,0026; Siegquote nach oben verzerrt lesbar), Golden-Selbsttests gruen, Cross-Aera-Handshakes",39648b95bbba1acf,spec:frozen_champions/v26-b01/spec.json,,1
2026-09-12,v27-b01,400,v24-b07,400,63,37,100,"Segment 2, Zwischenstufe: v27-b01 (lebendes Modell, Champion-Spec) gegen Artefakt v24-b07 (eigenes Wheel, frozen_referee_match, 6 Prozesse, Seed-Basen 914001/914051), zwei Bloecke a 50, FRUEH-STOPP nach 100 Partien (Binomial zweiseitig p=0,012; Siegquote nach oben verzerrt lesbar), Golden-Selbsttests gruen, Cross-Aera",39648b95bbba1acf,spec:frozen_champions/v27-b01/spec.json,,1
2026-09-12,v28-b02,400,v24-b07,400,44,6,50,"Segment 2, Zwischenstufe: v28-b02 (lebendes Modell, Champion-Spec) gegen Artefakt v24-b07 (eigenes Wheel, frozen_referee_match, 6 Prozesse, Seed-Basis 915001), Block 1, FRUEH-STOPP nach 50 Partien (Binomial p<0,0001; 88 Prozent, nahe der Saettigung), Golden-Selbsttests gruen, Cross-Aera",39648b95bbba1acf,spec:frozen_champions/v27-b01/spec.json,,1
2026-09-12,v24-b07,400,Heuristik_hv2_generator,150,45,5,50,"Segment 2, Zwischenstufe: Artefakt v24-b07 (eigenes Wheel) gegen Artefakt hv2_generator @150 c_puct 0,3 (eigenes Wheel, frozen_referee_match, 6 Prozesse, Seed-Basis 917001), Block 1, FRUEH-STOPP nach 50 Partien (Binomial p<0,0001; 90 Prozent, gesaettigt: hv2 ist fuer v24+ keine Sprosse), Golden-Selbsttests gruen, Cross-Aera",39648b95bbba1acf,spec:frozen_champions/v24-b07/spec.json,,1
2026-09-12,v26-b01,400,Heuristik_hv2_generator,150,41,9,50,"Segment 2, Zwischenstufe: Artefakt v26-b01 gegen Artefakt hv2_generator @150 c_puct 0,3 (frozen_referee_match, 6 Prozesse, Seed-Basis 918001), Block 1, FRUEH-STOPP nach 50 Partien (Binomial p<0,0001; 82 Prozent), Golden-Selbsttests gruen, Cross-Aera",39648b95bbba1acf,spec:frozen_champions/v26-b01/spec.json,,1
2026-09-12,v28-b02,400,Heuristik_hv4_anchor,150,126,24,150,"Segment 2, Anker-Kante KORREKT wiederholt (Anker @150, c_puct 0,3; die erste Fassung vom Morgen lief @400/1,5 und liegt in archive/elo_history_segment2_anchor_mislabelled.csv): festes n=150 ohne Fruehstopp, Seed-Basis 900001, 6 Worker, Handshake gruen ohne Cross-Aera, Golden-Selbsttest gruen",39648b95bbba1acf,spec:frozen_champions/v27-b01/spec.json,,0
2026-09-12,v28-b01,400,Heuristik_hv4_anchor,150,126,24,150,"Segment 2, Anker-Kante KORREKT wiederholt (Anker @150, c_puct 0,3; Morgenfassung @400/1,5 archiviert): festes n=150 ohne Fruehstopp, Seed-Basis 900001, 6 Worker, Handshake gruen, Golden-Selbsttest gruen; 1460 s",39648b95bbba1acf,spec:frozen_champions/v27-b01/spec.json,,0
2026-09-12,v27-b01,400,Heuristik_hv4_anchor,150,122,28,150,"Segment 2, Anker-Kante KORREKT wiederholt (Anker @150, c_puct 0,3; Morgenfassung @400/1,5 archiviert): festes n=150 ohne Fruehstopp, Seed-Basis 900001, 6 Worker, Handshake gruen, Golden-Selbsttest gruen; 1444 s. Segment 1 hatte 127:23",39648b95bbba1acf,spec:frozen_champions/v27-b01/spec.json,,0
2026-09-12,Heuristik_hv2_generator,150,Heuristik_hv4_anchor,150,77,73,150,"Segment 2, Sprosse: Artefakt hv2_generator @150 c_puct 0,3 gegen Anker-Artefakt hv4_anchor @150 c_puct 0,3 (beide eigene Wheels, frozen_referee_match, 6 Prozesse, Seed-Basen 910001/910051/910101), drei Bloecke a 50 bis zum Deckel OHNE Frueh-Stopp (27:23, 29:21, 21:29; Binomial p=0,81): hv2 und hv1 sind im Segment 2 gleich stark. CROSS-AERA: hv2-Artefakt vom 2026-08-26 OHNE Phantom-Fix A2 (Quellzweig seither entfernt, nicht nachbaubar), Anker MIT A2. Segment 1 hatte v2huelle bei 1100; Identitaet hv2_generator = v2huelle ungeprueft",39648b95bbba1acf,spec:frozen_heuristics/hv2_generator/spec.json,,0
2026-09-12,v21_2d_brierbest,400,Heuristik_hv2_generator,150,34,16,50,"Segment 2, Sprosse: Artefakt v21_2d_brierbest (wave3g-Wheel, Worker des Einfriertags) gegen Artefakt hv2_generator @150 c_puct 0,3 (frozen_referee_match, 6 Prozesse, Seed-Basis 911001), Block 1, FRUEH-STOPP nach 50 Partien (Binomial p=0,015), Golden-Selbsttests gruen, Cross-Aera",39648b95bbba1acf,spec:frozen_champions/v21_2d_brierbest/spec.json,,1
2026-09-12,v24-b07,400,v21_2d_brierbest,400,85,65,150,"Segment 2, Sprosse: Artefakt v24-b07 gegen Artefakt v21_2d_brierbest (beide eigene Wheels, frozen_referee_match, 6 Prozesse, Seed-Basen 912001/912051/912101), drei Bloecke a 50 bis zum Deckel OHNE Frueh-Stopp (30:20, 27:23, 28:22; Binomial p=0,12), Golden-Selbsttests gruen, Cross-Aera; die Sprosse mit der besten Aufloesung der Leiter (57 Prozent)",39648b95bbba1acf,spec:frozen_champions/v24-b07/spec.json,,0
2026-09-12,v21_2d_brierbest,400,Heuristik_hv4_anchor,150,42,8,50,"Segment 2, Sprosse: Artefakt v21_2d_brierbest gegen Anker-Artefakt hv4_anchor @150 c_puct 0,3 (frozen_referee_match, 6 Prozesse, Seed-Basis 916001), Block 1, FRUEH-STOPP nach 50 Partien (Binomial p<0,0001; 84 Prozent, gegen den Anker sind auch v21 schon gesaettigt), Golden-Selbsttests gruen, Cross-Aera",39648b95bbba1acf,spec:frozen_champions/v21_2d_brierbest/spec.json,,1
2026-09-12,v22-b05_live,400,v21_2d_brierbest,400,64,86,150,"Segment 2, Sprosse: v22-b05 LIVE (ONNX aus restic-Snapshot f567ad7d, 744 Merkmale auf dem 755er-Wheel, Spec k3v_off ohne Huelle wie zur v22-Zeit) gegen Artefakt v21_2d_brierbest (frozen_referee_match, 6 Prozesse, Seed-Basen 919001/919051/919101), drei Bloecke a 50 bis zum Deckel OHNE Frueh-Stopp (20:30, 22:28, 22:28; Binomial p=0,086), Golden-Selbsttests gruen, Cross-Aera. Segment 1 hatte 16:34",39648b95bbba1acf,spec:k3v_off.spec.json,,0
2026-09-12,v22-b05_live,400,Heuristik_hv4_anchor,150,38,12,50,"Segment 2, Sprosse: v22-b05 LIVE (k3v_off) gegen Anker-Artefakt hv4_anchor @150 c_puct 0,3 (frozen_referee_match, 6 Prozesse, Seed-Basis 920001), Block 1, FRUEH-STOPP nach 50 Partien (Binomial p=0,0003; 76 Prozent, nicht voll gesaettigt), Golden-Selbsttest gruen, Cross-Aera",39648b95bbba1acf,spec:k3v_off.spec.json,,1
2026-09-12,v22-b05_live,400,Heuristik_hv2_generator,150,41,9,50,"Segment 2, Sprosse: v22-b05 LIVE (k3v_off) gegen Artefakt hv2_generator @150 c_puct 0,3 (frozen_referee_match, 6 Prozesse, Seed-Basis 921001), Block 1, FRUEH-STOPP nach 50 Partien (Binomial p<0,0001; 82 Prozent), Golden-Selbsttest gruen, Cross-Aera",39648b95bbba1acf,spec:k3v_off.spec.json,,1
2026-09-12,v28-b01,400,v26-b01,400,92,58,150,"Segment 2, Kante fuer v28-b01 (Nutzer 2026-09-12): v28-b01 (lebendes Modell, Champion-Spec) gegen Artefakt v26-b01 (eigenes Wheel, frozen_referee_match, 6 Prozesse, Seed-Basen 922001/922051/922101), drei Bloecke a 50 bis zum Deckel (28:22, 32:18, 32:18; Binomial p=0,0069, Deckel erreicht), Golden-Selbsttests gruen, Cross-Aera",39648b95bbba1acf,spec:frozen_champions/v27-b01/spec.json,,0
2026-09-12,v28-b01,400,v21_2d_brierbest,400,69,31,100,"Segment 2, Kante fuer v28-b01 (Nutzer 2026-09-12): v28-b01 gegen Artefakt v21_2d_brierbest (frozen_referee_match, 6 Prozesse, Seed-Basen 923001/923051), zwei Bloecke a 50, FRUEH-STOPP nach 100 Partien (Binomial p=0,0002), Golden-Selbsttests gruen, Cross-Aera",39648b95bbba1acf,spec:frozen_champions/v27-b01/spec.json,,1
